,sort_algo,type,size,ns
0,library_sort/1,shuffled,10,9597
1,library_sort/3,shuffled,10,11971
2,library_sort/1,all_equal,10,10239
3,library_sort/3,all_equal,10,12352
4,library_sort/1,ascending,10,7964
5,library_sort/3,ascending,10,9568
6,library_sort/1,descending,10,8586
7,library_sort/3,descending,10,8665
8,library_sort/1,pipe_organ,10,11020
9,library_sort/3,pipe_organ,10,9007
10,library_sort/1,push_front,10,15187
11,library_sort/3,push_front,10,9036
12,library_sort/1,push_middle,10,7854
13,library_sort/3,push_middle,10,9227
14,library_sort/1,nearly_sorted,10,12152
15,library_sort/3,nearly_sorted,10,9417
16,library_sort/1,sawtooth,10,8115
17,library_sort/3,sawtooth,10,11290
18,library_sort/1,shuffled,100,23744
19,library_sort/3,shuffled,100,32239
20,library_sort/1,all_equal,100,36988
21,library_sort/3,all_equal,100,38030
22,library_sort/1,ascending,100,33552
23,library_sort/3,ascending,100,35344
24,library_sort/1,descending,100,31858
25,library_sort/3,descending,100,24385
26,library_sort/1,pipe_organ,100,22632
27,library_sort/3,pipe_organ,100,30956
28,library_sort/1,push_front,100,25487
29,library_sort/3,push_front,100,32269
30,library_sort/1,push_middle,100,23153
31,library_sort/3,push_middle,100,34773
32,library_sort/1,nearly_sorted,100,25687
33,library_sort/3,nearly_sorted,100,33801
34,library_sort/1,sawtooth,100,19346
35,library_sort/3,sawtooth,100,31738
36,library_sort/1,shuffled,1000,196700
37,library_sort/3,shuffled,1000,802418
38,library_sort/1,all_equal,1000,754270
39,library_sort/3,all_equal,1000,1393078
40,library_sort/1,ascending,1000,573529
41,library_sort/3,ascending,1000,1570793
42,library_sort/1,descending,1000,849413
43,library_sort/3,descending,1000,595318
44,library_sort/1,pipe_organ,1000,262510
45,library_sort/3,pipe_organ,1000,901078
46,library_sort/1,push_front,1000,572978
47,library_sort/3,push_front,1000,1427250
48,library_sort/1,push_middle,1000,656601
49,library_sort/3,push_middle,1000,1213469
50,library_sort/1,nearly_sorted,1000,585591
51,library_sort/3,nearly_sorted,1000,1175119
52,library_sort/1,sawtooth,1000,143502
53,library_sort/3,sawtooth,1000,1558380
54,library_sort/1,shuffled,10000,4539301
55,library_sort/3,shuffled,10000,76190204
56,library_sort/1,all_equal,10000,88262083
57,library_sort/3,all_equal,10000,160869324
58,library_sort/1,ascending,10000,36403779
59,library_sort/3,ascending,10000,176180936
60,library_sort/1,descending,10000,96265650
61,library_sort/3,descending,10000,106180554
62,library_sort/1,pipe_organ,10000,57688405
63,library_sort/3,pipe_organ,10000,186828330
64,library_sort/1,push_front,10000,56807586
65,library_sort/3,push_front,10000,171584991
66,library_sort/1,push_middle,10000,57504069
67,library_sort/3,push_middle,10000,175960253
68,library_sort/1,nearly_sorted,10000,63153441
69,library_sort/3,nearly_sorted,10000,191480618
70,library_sort/1,sawtooth,10000,5606845
71,library_sort/3,sawtooth,10000,134006624
72,library_sort/1,shuffled,100000,114171268
73,library_sort/2,shuffled,10,9187
74,library_sort/2,all_equal,10,11250
75,library_sort/2,ascending,10,8666
76,library_sort/2,descending,10,8796
77,library_sort/2,pipe_organ,10,11942
78,library_sort/2,push_front,10,10820
79,library_sort/2,push_middle,10,10980
80,library_sort/2,nearly_sorted,10,9948
81,library_sort/2,sawtooth,10,12763
82,library_sort/2,shuffled,100,29063
83,library_sort/2,all_equal,100,29534
84,library_sort/2,ascending,100,34573
85,library_sort/2,descending,100,21750
86,library_sort/2,pipe_organ,100,30055
87,library_sort/2,push_front,100,28342
88,library_sort/2,push_middle,100,28613
89,library_sort/2,nearly_sorted,100,29874
90,library_sort/2,sawtooth,100,25336
91,library_sort/2,shuffled,1000,502619
92,library_sort/2,all_equal,1000,1063014
93,library_sort/2,ascending,1000,952712
94,library_sort/2,descending,1000,360058
95,library_sort/2,pipe_organ,1000,582054
96,library_sort/2,push_front,1000,899946
97,library_sort/2,push_middle,1000,999709
98,library_sort/2,nearly_sorted,1000,873147
99,library_sort/2,sawtooth,1000,467254
100,library_sort/2,shuffled,10000,67401891
101,library_sort/2,all_equal,10000,99245170
102,library_sort/2,ascending,10000,120687405
103,library_sort/2,descending,10000,43230044
104,library_sort/2,pipe_organ,10000,124824682
105,library_sort/2,push_front,10000,121803656
106,library_sort/2,push_middle,10000,120551546
107,library_sort/2,nearly_sorted,10000,121999154
108,library_sort/2,sawtooth,10000,61279214
109,library_sort/4,shuffled,10,13094
110,library_sort/4,ascending,10,9127
111,library_sort/4,pipe_organ,10,9317
112,library_sort/4,push_middle,10,12813
113,library_sort/4,sawtooth,10,13485
114,library_sort/4,all_equal,100,48168
115,library_sort/4,descending,100,30165
116,library_sort/4,push_front,100,38610
117,library_sort/4,nearly_sorted,100,40074
118,library_sort/4,shuffled,1000,1164400
119,library_sort/4,ascending,1000,2086195
120,library_sort/4,pipe_organ,1000,1161685
121,library_sort/4,push_middle,1000,1512867
122,library_sort/4,sawtooth,1000,1056582
123,library_sort/4,all_equal,10000,266052483
124,library_sort/4,descending,10000,164620403
125,library_sort/4,push_front,10000,249521179
