,sort_algo,type,size,ns
0,library_sort/1,shuffled,100000,132521104
1,library_sort/1,sawtooth,100000,2217162937
2,library_sort/1,pipe_organ,100000,11957243955
3,library_sort/2,descending,100000,14233516066
4,library_sort/1,nearly_sorted,100000,19236185969
5,library_sort/1,ascending,100000,19809547842
6,library_sort/1,push_front,100000,20288579629
7,library_sort/1,push_middle,100000,20225437009
8,library_sort/2,shuffled,100000,21412258270
9,library_sort/2,sawtooth,100000,24272724740
10,library_sort/1,all_equal,100000,26741149465
11,library_sort/2,pipe_organ,100000,32060383363
12,library_sort/1,descending,100000,32811328001
13,library_sort/3,descending,100000,35163214123
14,library_sort/2,push_front,100000,35291552345
15,library_sort/2,nearly_sorted,100000,36723416553
16,library_sort/2,ascending,100000,38062619281
17,library_sort/2,push_middle,100000,39297839873
18,library_sort/2,all_equal,100000,40125921923
19,library_sort/3,shuffled,100000,41708774252
20,library_sort/3,sawtooth,100000,41982378123
21,library_sort/3,pipe_organ,100000,49819015041
22,library_sort/4,descending,100000,52002746384
23,library_sort/4,shuffled,100000,56918659179
24,library_sort/3,nearly_sorted,100000,57484986157
25,library_sort/3,push_middle,100000,57860054797
26,library_sort/3,ascending,100000,58263544498
27,library_sort/3,push_front,100000,58736912776
28,library_sort/4,sawtooth,100000,61592407585
29,library_sort/3,all_equal,100000,62517173723
30,library_sort/5,descending,100000,72151131560
31,library_sort/4,ascending,100000,72739938986
32,library_sort/4,pipe_organ,100000,73117848170
33,library_sort/4,nearly_sorted,100000,74771708421
34,library_sort/4,push_middle,100000,76374609943
35,library_sort/5,shuffled,100000,77218224532
36,library_sort/5,sawtooth,100000,78433951334
37,library_sort/4,push_front,100000,79057016298
38,library_sort/4,all_equal,100000,84340223724
39,library_sort/5,pipe_organ,100000,85282714493
40,library_sort/6,descending,100000,88320290260
41,library_sort/5,push_middle,100000,89660299613
42,library_sort/5,nearly_sorted,100000,90217841111
43,library_sort/5,all_equal,100000,91611948323
44,library_sort/5,ascending,100000,92381071491
45,library_sort/5,push_front,100000,93420319245
46,library_sort/6,sawtooth,100000,94094495528
47,library_sort/6,shuffled,100000,95406961064
48,library_sort/6,pipe_organ,100000,96038556294
49,library_sort/6,push_middle,100000,96061642371
50,library_sort/6,ascending,100000,96556952459
51,library_sort/6,nearly_sorted,100000,97309339221
52,library_sort/6,all_equal,100000,98316053950
53,library_sort/6,push_front,100000,98618851504
